sample_id,slot_idx,phrase,gt_area,area_frac,soft_iou,mass_in_gt,gt_coverage,peak_in_gt,pred_sum,slices
2401156,0,The person is wearing goggles.,180,0.003587372448979592,0.03867022959008541,0.04056663639371688,0.45271665785047743,0,2008.7689208984375,overall|small|part
2401156,1,The flag has the word forum on it.,4590,0.0914779974489796,0.027756444701888098,0.03524522469303105,0.11553973694512527,0,15046.787109375,overall|text
2401156,2,the sky is gray,2610,0.05201690051020408,0.000511532910410295,0.0009994819738691292,0.0010466928226280942,0,2733.2841796875,overall
2401156,3,The person is wearing a shoe.,792,0.015784438775510203,0.014054054899745155,0.01833597162710703,0.0567658164284446,0,2451.930419921875,overall|small|part
2401156,4,People are standing in the distance.,1470,0.029296875,0.006896834447634992,0.007820627315379886,0.05516609659000319,0,10369.265625,overall
2401156,5,the hoodie has yellow letters,1120,0.022321428571428572,0.06917259469678279,0.07672398545292461,0.41273561205182757,0,6025.0244140625,overall|text
2401156,6,a black metal rail,2556,0.0509406887755102,0.025350192715217285,0.030199011420875128,0.13635560753573087,0,11540.9384765625,overall|part
2401157,0,Motorcycles lined up,15914,0.31716358418367346,0.2156746362908231,0.3185598752111548,0.4004025604911556,0,20002.5390625,overall
2401157,1,Advertising on the building.,1826,0.03639190051020408,0.031315520293722324,0.04008092033545309,0.1252580206078219,0,5706.484375,overall|text
2401157,2,Sign in the window.,986,0.019650829081632654,0.00019580636780021853,0.0006174697541334831,0.00028665010150499327,0,457.7341613769531,overall|small|text|part
2401157,3,England's flag shirt on man.,198,0.003946109693877551,0.022926996102629504,0.023043693167410124,0.8190798518633602,0,7037.83935546875,overall|small|text
2401157,4,There is an X on the building,180,0.003587372448979592,0.0007441598665704055,0.0008035759779043366,0.009964141580793593,0,2231.955078125,overall|small
2401157,5,Brookes Bros store front,1540,0.030691964285714284,0.007387881274746203,0.008754733069080454,0.045181655883789064,0,7947.67236328125,overall
2401158,0,Power pole on the street,697,0.013891103316326531,0.010405333519397611,0.011117106665771613,0.13979956956641745,0,8764.8974609375,overall|small
2401158,1,Yellow garbage can on the street,15,0.00029894770408163266,0.00039523077958736645,0.00039547575621537147,0.3895132382710775,0,14773.84765625,overall|small
2401158,2,The tree is bare.,11832,0.23580994897959184,0.04056857457892065,0.20880661314882326,0.04793748733076878,0,2716.37158203125,overall
