sample_id,slot_idx,source_idx,phrase,gt_area,area_frac,soft_iou,mass_in_gt,gt_coverage,peak_in_gt,pred_sum,slices
2401156,0,0,The person is wearing goggles.,180,0.003587372448979592,0.007178435383447528,0.007386223121578075,0.20329617394341362,0,4954.265625,overall|small|part
2401156,1,3,The person is wearing a shoe.,792,0.015784438775510203,0.023819827290401066,0.02640978039510202,0.19542424365727587,0,5860.55615234375,overall|small|part
2401156,2,7,a camera on a helmet,130,0.002590880102040816,0.0029005879815536704,0.003068949851314811,0.050217628479003906,0,2127.20703125,overall|small|part
2401156,3,1,The flag has the word forum on it.,4590,0.0914779974489796,0.0924983082090012,0.13321610921286856,0.23231993698086872,0,8004.6513671875,overall|text
2401156,4,5,the hoodie has yellow letters,1120,0.022321428571428572,0.02528450188966569,0.026750493788807256,0.3157132284981864,0,13218.4033203125,overall|text
2401156,5,6,a black metal rail,2556,0.0509406887755102,0.003367981411782729,0.004161379587561832,0.017358450076203204,0,10661.896484375,overall|part
2401156,6,2,the sky is gray,2610,0.05201690051020408,0.010289918126881181,0.0151548376044018,0.031058820819489345,0,5349.01953125,overall
2401157,0,2,Sign in the window.,986,0.019650829081632654,0.01108221036064105,0.017412505648634495,0.029581669619794308,0,1675.0906982421875,overall|small|text|part
2401157,1,3,England's flag shirt on man.,198,0.003946109693877551,0.002695341063773668,0.002832226567510128,0.05282211785364633,0,3692.7763671875,overall|small|text
2401157,2,4,There is an X on the building,180,0.003587372448979592,0.007760951154398155,0.00807171816259824,0.16776199340820314,0,3741.106689453125,overall|small
2401157,3,1,Advertising on the building.,1826,0.03639190051020408,0.03291546235802898,0.04577540786798923,0.1048760304445766,0,4183.54833984375,overall|text
2401157,4,0,Motorcycles lined up,15914,0.31716358418367346,0.29936181758481734,0.4351289868662802,0.4896511621056931,1,17908.04296875,overall
2401157,5,5,Brookes Bros store front,1540,0.030691964285714284,0.028230208423519736,0.03364115214367721,0.14930835079837154,0,6834.92822265625,overall
2401158,0,0,Power pole on the street,697,0.013891103316326531,0.011321925734074156,0.011989374413629567,0.16900428979947543,0,9825.0322265625,overall|small
2401158,1,1,Yellow garbage can on the street,15,0.00029894770408163266,0.00032607802964512505,0.00032651634919338726,0.195432980855306,0,8978.0947265625,overall|small
2401158,2,7,license plate on the bus,85,0.0016940369897959183,0.0070400244349499074,0.007284645189710469,0.17331274817971623,1,2022.27880859375,overall|small
2401158,3,8,Red words on the bus,420,0.008370535714285714,0.006732730651883027,0.007119306150376483,0.1103141603015718,0,6507.93017578125,overall|small
2401158,4,6,The trees have a few leaves.,5440,0.10841836734693877,0.04923230581102151,0.08216462793920437,0.10939508325913373,0,7242.888671875,overall|part
2401158,5,2,The tree is bare.,11832,0.23580994897959184,0.1277596939978208,0.28358170021246404,0.18864813360352223,0,7871.04638671875,overall
2401158,6,3,Traffic on the streets.,3808,0.07589285714285714,0.04662916823364803,0.06650272440022192,0.13497415109842764,0,7728.7294921875,overall
2401159,0,0,books sitting on a coffee table,899,0.017916932397959183,0.02646987519720199,0.03132490494569317,0.14587222429218227,0,4186.41748046875,overall|small
2401159,1,2,a vent in the floor,475,0.009466677295918368,0.013899090147786144,0.014553175994394553,0.2362038060238487,0,7709.43798828125,overall|small
2401159,2,5,corner of a mounted painting,986,0.019650829081632654,0.012471616639522728,0.017506351547717344,0.0415628599588576,0,2340.920654296875,overall|small
2401159,3,6,TV on the wall,704,0.01403061224489796,0.005084545415337122,0.007009769802564154,0.018176405267281967,0,1825.479248046875,overall|small
2401159,4,8,White pillow on the couch,405,0.008071588010204082,0.0210003707946461,0.02119713921043473,0.6934671284239969,0,13249.626953125,overall|small
2401159,5,3,A door you can see through,7203,0.1435546875,0.2562877503126942,0.30215053749413695,0.6280398439669235,1,14971.9111328125,overall|part
2401159,6,7,trees outside the window,3584,0.07142857142857142,0.10462914061298768,0.15233256171234558,0.2504393884113857,0,5892.20556640625,overall|part
2401160,0,0,black laptop with stickers,16472,0.3282844387755102,0.23395837733553362,0.4596638248131492,0.32270956016270036,0,11564.259765625,overall
2401160,1,1,a laptop screen across from the young man,4092,0.08155293367346939,0.10245452032089164,0.12150328762258886,0.39522593508484544,0,13310.458984375,overall
2401160,2,2,a picture is hanging on the wall,1026,0.020448022959183673,0.050292285176473085,0.07076206253541417,0.14810647648445113,0,2147.439453125,overall
2401160,3,3,Bottle on the table.,2904,0.05787627551020408,0.07753746886532668,0.09885775824680877,0.26444906439662963,0,7768.333984375,overall
2401161,0,2,The head of the teddy bear.,1260,0.025111607142857144,0.02753423681306273,0.029631143038224807,0.2801006983196925,0,11910.673828125,overall|part
2401161,1,0,Windows on the building.,8428,0.16796875,0.054797205031863465,0.14370124200602447,0.08136548303460192,0,4772.04150390625,overall
2401161,2,1,feet of the teddy bear,1240,0.024713010204081634,0.017646990552357585,0.02127128592270689,0.09385129867061492,0,5471.01904296875,overall
2401161,3,3,white wispy clouds,1760,0.035076530612244895,0.01625282215316309,0.026227420582447463,0.04098404104059393,0,2750.248046875,overall
2401161,4,4,building made of grey concrete,6604,0.13161670918367346,0.0548182278899238,0.09096660901750381,0.12122589425561213,0,8800.765625,overall
2401161,5,5,building holding the bear,1110,0.022122130102040817,0.025888240664674565,0.029677926158452134,0.16856300422737192,0,6304.51513671875,overall
2401163,0,5,yellow umbrella in garden,288,0.005739795918367347,0.006011560009392974,0.0062305648369299724,0.1460476451449924,0,6750.8681640625,overall|small
2401163,1,0,Flower pedals on the path,2090,0.04165338010204082,0.016352208058692603,0.026562142618816318,0.04080590791109076,0,3210.748046875,overall
2401163,2,1,blue umbrella in garden,1960,0.0390625,0.026007438680277536,0.03301907591298249,0.1091105791987205,0,6476.76318359375,overall
2401163,3,2,The tree has pink flowers,4850,0.09665975765306123,0.0909979567876406,0.13771264417466605,0.21151664183311855,0,7449.24853515625,overall
2401163,4,3,The flowers are pink,1591,0.03170838647959184,0.01754689721691591,0.026476675960648812,0.04945343804014771,0,2971.68798828125,overall
2401163,5,4,The woman is wearing a skirt,1749,0.034857302295918366,0.00988151821044812,0.02415299544855696,0.016448371542597442,0,1191.0821533203125,overall
2401164,0,1,car with back to camera,729,0.014528858418367346,0.015721850676098784,0.01752530907474249,0.1325309240605442,0,5512.88671875,overall|small
2401164,1,0,The trees are green.,33726,0.6721540178571429,0.30789356060981093,0.8535747485581221,0.32506243444412325,1,12843.697265625,overall
2401165,0,6,The nose and nostril of the baby.,560,0.011160714285714286,0.010961942834128751,0.012873871637100104,0.0687379973275321,0,2990.03125,overall|small
2401165,1,8,dark eyelashes on a baby,252,0.005022321428571429,0.003694435888448833,0.004037501034976479,0.041667771717858695,0,2600.6875,overall|small
2401165,2,9,edge of white wall,621,0.012376434948979591,0.009618617573653319,0.009987333972340135,0.2066874481053744,0,12851.568359375,overall|small
2401165,3,3,blue shirt on kid,3230,0.0643734056122449,0.03627537886875645,0.04630258856889895,0.1434752662115422,0,10008.6220703125,overall|text
2401165,4,0,brown hair on kid's head,4200,0.08370535714285714,0.03532123733532323,0.049104220667288076,0.11177267165411087,0,9560.1806640625,overall|part
2401165,5,1,The open mouth of the baby.,1125,0.022421077806122448,0.02290514290914187,0.03068655284951498,0.08284486897786458,0,3037.176513671875,overall
