sample_id,slot_idx,source_idx,phrase,gt_area,area_frac,soft_iou,mass_in_gt,gt_coverage,peak_in_gt,pred_sum,slices
2401156,0,0,The person is wearing goggles.,180,0.003587372448979592,0.006789670255572945,0.007884901973923357,0.046602884928385414,0,1063.87109375,overall|small|part
2401156,1,3,The person is wearing a shoe.,792,0.015784438775510203,0.021879625785351315,0.023817768843162508,0.21190211748836016,0,7046.27197265625,overall|small|part
2401156,2,7,a camera on a helmet,130,0.002590880102040816,0.0014682351745550508,0.0015642292017144668,0.02336596158834604,0,1941.89892578125,overall|small|part
2401156,3,1,The flag has the word forum on it.,4590,0.0914779974489796,0.012672078041786055,0.025511509763893072,0.024560573469839326,0,4418.90869140625,overall|text
2401156,4,5,the hoodie has yellow letters,1120,0.022321428571428572,0.0077915430062025105,0.008585401230274924,0.07771523339407785,0,10138.263671875,overall|text
2401156,5,6,a black metal rail,2556,0.0509406887755102,0.006452262883751753,0.0071908148561891354,0.05910833415477675,0,21010.26171875,overall|part
2401156,6,2,the sky is gray,2610,0.05201690051020408,0.0003201822980132442,0.0005034231147225342,0.0008788735473749738,0,4556.52490234375,overall
2401157,0,2,Sign in the window.,986,0.019650829081632654,0.00015042571156639086,0.001146137944054788,0.00017312107112780063,0,148.9326629638672,overall|small|text|part
2401157,1,3,England's flag shirt on man.,198,0.003946109693877551,0.0005580650822965888,0.0006118350711216828,0.006310012003388068,0,2042.0247802734375,overall|small|text
2401157,2,4,There is an X on the building,180,0.003587372448979592,0.0003296866671690529,0.0003765622117008447,0.002641454339027405,0,1262.6380615234375,overall|small
2401157,3,1,Advertising on the building.,1826,0.03639190051020408,0.019142033302269466,0.02955185575731511,0.05154046249807469,0,3184.669189453125,overall|text
2401157,4,0,Motorcycles lined up,15914,0.31716358418367346,0.23806972749242777,0.28437612440872484,0.5938311245208622,0,33231.44140625,overall
2401157,5,5,Brookes Bros store front,1540,0.030691964285714284,0.018078969204391532,0.02266353447240649,0.08204021701565037,0,5574.67919921875,overall
2401158,0,0,Power pole on the street,697,0.013891103316326531,0.01251803722467909,0.012860318325722578,0.31988175117131457,0,17336.86328125,overall|small
2401158,1,1,Yellow garbage can on the street,15,0.00029894770408163266,9.949609013922234e-05,9.96483856404626e-05,0.06112210750579834,0,9200.6669921875,overall|small
2401158,2,7,license plate on the bus,85,0.0016940369897959183,0.00873807360571492,0.008803948690228545,0.5387048609116498,0,5201.0654296875,overall|small
2401158,3,8,Red words on the bus,420,0.008370535714285714,0.006263905859762419,0.006686084819023495,0.09024912516276042,0,5669.18212890625,overall|small
2401158,4,6,The trees have a few leaves.,5440,0.10841836734693877,0.0009644793010995641,0.004688654875156369,0.0012127855244804832,0,1407.13134765625,overall|part
2401158,5,2,The tree is bare.,11832,0.23580994897959184,0.07379742702678348,0.28161063277255766,0.09091235013166096,0,3819.72412109375,overall
2401158,6,3,Traffic on the streets.,3808,0.07589285714285714,0.04486154205672884,0.06461554944645473,0.12796467692912125,0,7541.36572265625,overall
2401159,0,0,books sitting on a coffee table,899,0.017916932397959183,0.023747958736202838,0.02592187788091199,0.22068087330649505,0,7653.4619140625,overall|small
2401159,1,2,a vent in the floor,475,0.009466677295918368,0.0145630029231507,0.016377610071164655,0.1161684859426398,0,3369.23583984375,overall|small
2401159,2,5,corner of a mounted painting,986,0.019650829081632654,0.025632071319733617,0.03723298147475693,0.07601258624156156,0,2012.95751953125,overall|small
2401159,3,6,TV on the wall,704,0.01403061224489796,0.03404468272832851,0.03938444059368008,0.2007054849104448,0,3587.62646484375,overall|small
2401159,4,8,White pillow on the couch,405,0.008071588010204082,0.013781375327376753,0.01384533570315263,0.7489467291184414,0,21907.986328125,overall|small
2401159,5,3,A door you can see through,7203,0.1435546875,0.23793502693681076,0.3307369712597733,0.45886771082795363,0,9993.5126953125,overall|part
2401159,6,7,trees outside the window,3584,0.07142857142857142,0.06131604657064914,0.1831721852096606,0.08439103194645473,0,1651.2193603515625,overall|part
2401160,0,0,black laptop with stickers,16472,0.3282844387755102,0.3176598558089175,0.5798158900635081,0.4126543042264904,0,11723.103515625,overall
2401160,1,1,a laptop screen across from the young man,4092,0.08155293367346939,0.1448696457858773,0.1963779527714628,0.35580402571900965,0,7414.02001953125,overall
2401160,2,2,a picture is hanging on the wall,1026,0.020448022959183673,0.013543683832218116,0.020472749714492634,0.03847672460604365,0,1928.2763671875,overall
2401160,3,3,Bottle on the table.,2904,0.05787627551020408,0.042600756619980765,0.047342501474349624,0.29841016869242853,0,18304.548828125,overall
2401161,0,2,The head of the teddy bear.,1260,0.025111607142857144,0.039887618521979855,0.04915679708196404,0.1746002197265625,0,4475.39892578125,overall|part
2401161,1,0,Windows on the building.,8428,0.16796875,0.016588057144571733,0.03336387037265124,0.03193684828241798,0,8067.52197265625,overall
2401161,2,1,feet of the teddy bear,1240,0.024713010204081634,0.009904464426677084,0.011566178387189058,0.0644928716844128,0,6914.22509765625,overall
2401161,3,3,white wispy clouds,1760,0.035076530612244895,0.001243622885007577,0.012751813541538627,0.001376117630438371,0,189.93118286132812,overall
2401161,4,4,building made of grey concrete,6604,0.13161670918367346,0.1156849391188324,0.17807442835285403,0.24822900080088772,0,9205.7255859375,overall
2401161,5,5,building holding the bear,1110,0.022122130102040817,0.018795092151030268,0.019783001823712384,0.2734531986820805,0,15343.1240234375,overall
2401163,0,5,yellow umbrella in garden,288,0.005739795918367347,0.00873229898676481,0.00891658648788191,0.2970145278506809,0,9593.3779296875,overall|small
2401163,1,0,Flower pedals on the path,2090,0.04165338010204082,0.0004730053557530129,0.0005670917658913245,0.0028428641232577235,0,10477.2919921875,overall
2401163,2,1,blue umbrella in garden,1960,0.0390625,0.012743074606847798,0.014984440846209503,0.07850460130341198,0,10268.5859375,overall
2401163,3,2,The tree has pink flowers,4850,0.09665975765306123,0.005386832177457754,0.008746809052260942,0.013829259184217945,0,7668.1572265625,overall
2401163,4,3,The flowers are pink,1591,0.03170838647959184,0.06347526303007295,0.09072501876848121,0.1744637192606851,1,3059.484375,overall
2401163,5,4,The woman is wearing a skirt,1749,0.034857302295918366,0.003094362269178379,0.004858647494159425,0.008449530451552672,0,3041.63427734375,overall
2401164,0,1,car with back to camera,729,0.014528858418367346,0.006102185438689067,0.006251205028862143,0.2038088825995049,0,23767.685546875,overall|small
2401164,1,0,The trees are green.,33726,0.6721540178571429,0.26039911024402895,0.8819316206860193,0.26980473730393467,1,10317.619140625,overall
2401165,0,6,The nose and nostril of the baby.,560,0.011160714285714286,0.015365689864406055,0.01692205070228994,0.1431523186819894,0,4737.32763671875,overall|small
2401165,1,8,dark eyelashes on a baby,252,0.005022321428571429,0.0034403149329977844,0.0036118120383302494,0.06755968124147445,0,4713.71142578125,overall|small
2401165,2,9,edge of white wall,621,0.012376434948979591,0.0011874202481739783,0.001252926301797662,0.022207278560325144,0,11006.80859375,overall|small
2401165,3,3,blue shirt on kid,3230,0.0643734056122449,0.07944691637184445,0.08942753608346964,0.41583796167521286,0,15019.4970703125,overall|text
2401165,4,0,brown hair on kid's head,4200,0.08370535714285714,0.029717945363053642,0.04662566523264223,0.07574445452008928,0,6822.99560546875,overall|part
2401165,5,1,The open mouth of the baby.,1125,0.022421077806122448,0.027908942277354527,0.03284648371344609,0.15658885362413194,0,5363.2060546875,overall
2401165,6,2,eyebrow of the kid,1586,0.03160873724489796,0.015244339350777247,0.024494023699052823,0.03880204949974262,0,2512.45166015625,overall
2401166,0,3,a white arm cast,986,0.019650829081632654,0.01522602689446076,0.017067902799518406,0.12364746929424046,0,7143.02197265625,overall|small|part
2401166,1,1,a pair of blue and white socks,858,0.01709980867346939,0.00034752232908158486,0.00039214137299088285,0.0030449537130502555,0,6662.3173828125,overall|small
2401166,2,4,wrist tag on the man,270,0.005381058673469388,0.004684945097687795,0.004736538164017633,0.30075050636574074,0,17143.87890625,overall|small
2401166,3,0,head of a man in wheelchair,2450,0.048828125,0.003281422575022069,0.0055578078092856815,0.007947936544612962,0,3503.61962890625,overall|part
2401166,4,5,Left wheel on man's wheelchair.,3560,0.07095025510204081,0.004243017800478551,0.005279731656455076,0.021151600526959708,0,14262.03125,overall|part
2401166,5,6,a metal gated window,4154,0.08278858418367346,0.011140015122800703,0.04881269401717639,0.014228796924486376,0,1210.8822021484375,overall|part
2401166,6,8,Window with metal covering.,1170,0.023317920918367346,0.00028519673567401106,0.0016181269770943634,0.000346098241643009,0,250.24917602539062,overall|part
2401167,0,2,branches of a small tree,195,0.0038863201530612247,0.00037681187791647005,0.0004168795766528074,0.003905183841020633,0,1826.692626953125,overall|small|part
2401167,1,3,edge of a river bank,297,0.005919164540816327,0.003936622155483001,0.00451106889683753,0.029986863184456872,0,1974.2767333984375,overall|small
